Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Afghanistan,AFG,35.143
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Africa Eastern and Southern,AFE,33.1420407340348
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Africa Western and Central,AFW,35.7762408849518
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Albania,ALB,10.116
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Algeria,DZA,20.572
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,American Samoa,ASM,13.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Andorra,AND,6.2
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Angola,AGO,38.2
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Antigua and Barbuda,ATG,11.984
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Arab World,ARB,23.3367102678225
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Argentina,ARG,13.794
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Armenia,ARM,11.7
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Aruba,ABW,7.178
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Australia,AUS,11.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Austria,AUT,9.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Azerbaijan,AZE,12.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Bahamas, The",BHS,11.379
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bahrain,BHR,11.454
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bangladesh,BGD,17.48
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Barbados,BRB,10.783
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Belarus,BLR,9.165
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Belgium,BEL,9.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Belize,BLZ,17.763
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Benin,BEN,36.071
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bermuda,BMU,7.5
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bhutan,BTN,12.332
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bolivia,BOL,21.599
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bosnia and Herzegovina,BIH,8.278
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Botswana,BWA,23.036
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Brazil,BRA,12.649
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,British Virgin Islands,VGB,7.64
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Brunei Darussalam,BRN,13.493
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bulgaria,BGR,8.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Burkina Faso,BFA,34.952
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Burundi,BDI,34.109
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cabo Verde,CPV,16.686
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cambodia,KHM,18.969
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cameroon,CMR,34.352
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Canada,CAN,9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Caribbean small states,CSS,15.9120757825486
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cayman Islands,CYM,11.7
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Central African Republic,CAF,42.344
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Central Europe and the Baltics,CEB,8.89276058753273
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Chad,TCD,43.184
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Channel Islands,CHI,10.2194980439915
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Chile,CHL,11.755
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,China,CHN,6.77
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Colombia,COL,13.921
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Comoros,COM,28.887
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Congo, Dem. Rep.",COD,41.737
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Congo, Rep.",COG,30.175
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Costa Rica,CRI,11.686
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cote d'Ivoire,CIV,33.492
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Croatia,HRV,8.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cuba,CUB,8.889
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Curacao,CUW,8.2
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cyprus,CYP,10.023
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Czechia,CZE,9.5
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Denmark,DNK,9.9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Djibouti,DJI,21.911
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Dominica,DMA,13.278
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Dominican Republic,DOM,18.111
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Early-demographic dividend,EAR,18.699417519014
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,East Asia & Pacific,EAS,9.64088993377152
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,East Asia & Pacific (excluding high income),EAP,9.98403640309512
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,East Asia & Pacific (IDA & IBRD countries),TEA,9.94602267326981
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Ecuador,ECU,16.583
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Egypt, Arab Rep.",EGY,22.107
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,El Salvador,SLV,15.803
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Equatorial Guinea,GNQ,29.865
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Eritrea,ERI,28.426
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Estonia,EST,8.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Eswatini,SWZ,23.642
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Ethiopia,ETH,31.835
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Euro area,EMU,8.57342286817589
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Europe & Central Asia,ECS,10.7157095656756
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Europe & Central Asia (excluding high income),ECA,15.720884052484
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Europe & Central Asia (IDA & IBRD countries),TEC,12.5611355406266
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,European Union,EUU,8.68660953506526
